date, package, count 
2022-11-24, @itwin/itwinui-css, 37 
2022-11-24, @itwin/itwinui-react, 116 
2022-11-24, @itwin/itwinui-layouts-css, 5 
2022-11-24, @itwin/itwinui-layouts-react, 13 
2022-11-24, @itwin/itwinui-variables, 0 
2022-11-24, @itwin/itwinui-icons-react, 61 
2022-11-24, @itwin/itwinui-illustrations-react, 4 
2022-12-05, @itwin/itwinui-css, 38 
2022-12-05, @itwin/itwinui-react, 119 
2022-12-05, @itwin/itwinui-layouts-css, 5 
2022-12-05, @itwin/itwinui-layouts-react, 13 
2022-12-05, @itwin/itwinui-variables, 1 
2022-12-05, @itwin/itwinui-icons-react, 62 
2022-12-05, @itwin/itwinui-illustrations-react, 4 
